n,tempo
1,0.000001
2,0.000002
3,0.000002
4,0.000002
5,0.000002
6,0.000002
7,0.000001
8,0.000002
9,0.000002
10,0.000002
11,0.000002
12,0.000001
13,0.000002
14,0.000002
15,0.000002
16,0.000002
17,0.000001
18,0.000002
19,0.000002
20,0.000002
21,0.000002
22,0.000002
23,0.000002
24,0.000001
25,0.000002
26,0.000002
27,0.000002
28,0.000002
29,0.000002
30,0.000001
31,0.000002
32,0.000002
33,0.000002
34,0.000002
35,0.000001
36,0.000002
37,0.000002
38,0.000002
39,0.000002
40,0.000001
41,0.000002
42,0.000002
43,0.000002
44,0.000001
45,0.000002
46,0.000002
47,0.000002
48,0.000002
49,0.000001
50,0.000002
51,0.000002
52,0.000002
53,0.000003
54,0.000001
55,0.000002
56,0.000002
57,0.000002
58,0.000002
59,0.000002
60,0.000001
61,0.000002
62,0.000002
63,0.000002
64,0.000002
65,0.000002
66,0.000001
67,0.000002
68,0.000002
69,0.000002
70,0.000002
71,0.000002
72,0.000001
73,0.000002
74,0.000002
75,0.000001
76,0.000002
77,0.000002
78,0.000002
79,0.000001
80,0.000002
81,0.000002
82,0.000002
83,0.000001
84,0.000002
85,0.000002
86,0.000002
87,0.000002
88,0.000001
89,0.000002
90,0.000002
91,0.000001
92,0.000003
93,0.000002
94,0.000002
95,0.000002
96,0.000001
97,0.000002
98,0.000002
99,0.000002
100,0.000001
