tamanho,bubble,selection,insertion
100,0.000000,0.000000,0.000000
200,0.000000,0.000000,0.000000
300,0.000000,0.000000,0.000000
400,0.000000,0.000000,0.000000
500,0.000000,0.000000,0.000000
600,0.000000,0.000000,0.000000
700,0.000000,0.000000,0.000000
800,0.000000,0.000000,0.000001
900,0.000000,0.000000,0.000000
1000,0.000000,0.000000,0.000001
1100,0.000000,0.000000,0.000000
1200,0.000001,0.000000,0.000000
1300,0.000001,0.000000,0.000000
1400,0.000000,0.000001,0.000000
1500,0.000001,0.000000,0.000000
1600,0.000001,0.000000,0.000001
1700,0.000001,0.000000,0.000001
1800,0.000000,0.000001,0.000000
1900,0.000001,0.000001,0.000000
2000,0.000001,0.000002,0.000001
2100,0.000003,0.000001,0.000001
2200,0.000002,0.000001,0.000002
2300,0.000004,0.000002,0.000002
2400,0.000004,0.000002,0.000002
2500,0.000005,0.000002,0.000002
2600,0.000003,0.000001,0.000001
2700,0.000003,0.000001,0.000001
2800,0.000002,0.000001,0.000002
2900,0.000002,0.000001,0.000002
3000,0.000002,0.000001,0.000002
3100,0.000002,0.000002,0.000001
3200,0.000005,0.000002,0.000002
3300,0.000004,0.000003,0.000003
3400,0.000006,0.000004,0.000002
3500,0.000009,0.000005,0.000005
3600,0.000007,0.000004,0.000006
3700,0.000012,0.000004,0.000002
3800,0.000004,0.000002,0.000002
3900,0.000005,0.000002,0.000002
4000,0.000009,0.000002,0.000004
4100,0.000008,0.000003,0.000005
4200,0.000013,0.000003,0.000002
4300,0.000006,0.000003,0.000002
4400,0.000006,0.000003,0.000006
4500,0.000009,0.000005,0.000004
4600,0.000013,0.000004,0.000004
4700,0.000008,0.000003,0.000003
4800,0.000007,0.000003,0.000008
4900,0.000019,0.000008,0.000008
5000,0.000012,0.000005,0.000004
5100,0.000013,0.000004,0.000005
5200,0.000012,0.000005,0.000010
5300,0.000017,0.000004,0.000004
5400,0.000009,0.000004,0.000005
5500,0.000009,0.000004,0.000005
5600,0.000010,0.000004,0.000004
5700,0.000011,0.000004,0.000005
5800,0.000024,0.000004,0.000005
5900,0.000012,0.000004,0.000005
6000,0.000012,0.000005,0.000005
6100,0.000012,0.000005,0.000006
6200,0.000024,0.000010,0.000010
6300,0.000031,0.000017,0.000009
6400,0.000032,0.000006,0.000006
6500,0.000014,0.000006,0.000008
6600,0.000036,0.000013,0.000015
6700,0.000042,0.000018,0.000018
6800,0.000025,0.000007,0.000006
6900,0.000016,0.000007,0.000006
7000,0.000030,0.000019,0.000017
7100,0.000047,0.000018,0.000020
7200,0.000027,0.000017,0.000021
7300,0.000021,0.000008,0.000008
7400,0.000018,0.000008,0.000007
7500,0.000019,0.000008,0.000008
7600,0.000019,0.000008,0.000009
7700,0.000021,0.000008,0.000008
7800,0.000044,0.000016,0.000008
7900,0.000044,0.000020,0.000023
8000,0.000022,0.000020,0.000022
8100,0.000044,0.000011,0.000017
8200,0.000040,0.000009,0.000009
8300,0.000024,0.000010,0.000010
8400,0.000023,0.000011,0.000014
8500,0.000036,0.000017,0.000016
8600,0.000053,0.000016,0.000029
8700,0.000060,0.000022,0.000012
8800,0.000050,0.000011,0.000011
8900,0.000029,0.000012,0.000015
9000,0.000038,0.000013,0.000015
9100,0.000035,0.000016,0.000012
9200,0.000041,0.000027,0.000021
9300,0.000038,0.000019,0.000018
9400,0.000044,0.000012,0.000013
9500,0.000058,0.000013,0.000013
9600,0.000065,0.000019,0.000013
9700,0.000058,0.000024,0.000015
9800,0.000041,0.000016,0.000014
9900,0.000036,0.000015,0.000014
10000,0.000046,0.000014,0.000014
